image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,BS140BCD,0.1250
test001_2.jpg,B2407UZO,B2407UZO,0.0000
test001_3.jpg,B2842PKM,B2842PKM,0.0000
test002_1.jpg,BG1352AE,THELICENSEPLATENUMBERINTHEIMAGEISBCG13562AE,4.3750
test003_1.jpg,B2634UZF,B2634UZF,0.0000
test003_2.jpg,B1995JVK,SB1995JVK,0.1250
test004_1.jpg,B9062VEH,9062VEH,0.1250
test005_1.jpg,DD8798KM,DD2798KM,0.1250
test006_1.jpg,T1329KC,T1329KC,0.0000
test007_1.jpg,AD8865EE,AD8865,0.2500
test008_1.jpg,DK1157AAB,DK1157AAA,0.1111
test008_2.jpg,AA1997FE,AA1997FE,0.0000
test009_1.jpg,H8518NA,THELICENSEPLATENUMBERVISIBLEINTHEIMAGEISH8518,6.0000
test009_2.jpg,K1649GB,K1649,0.2857
test010_1.jpg,B9416PCN,B9416PCN,0.0000
test010_2.jpg,H1147UY,H1127UY,0.1429
test011_1.jpg,H1691IL,SH1691IL,0.1429
test011_2.jpg,B9374RI,B9371,0.4286
test011_3.jpg,D1204AIG,D1204AIG,0.0000
test012_1.jpg,E1887BA,E1887BA,0.0000
test013_1.jpg,B1439UZP,B139UZP,0.1250
test013_2.jpg,B1128WOS,B1128WOS,0.0000
test014_1.jpg,B1388DFX,THELICENSEPLATENUMBERINTHEIMAGEIS13880B27,4.5000
test015_1.jpg,AD1798BT,AD1798BTS,0.1250
test016_1.jpg,E1517DQ,1517DOE,0.4286
test017_1.jpg,AD8982FS,AD8982FS,0.0000
test018_1.jpg,L7603UA,7603,0.4286
test019_1.jpg,AD7HS,AD7HS26,0.4000
test019_2.jpg,B1959WYK,B1959WYK,0.0000
test020_1.jpg,AG8634EK,AC868832,0.7500
test020_2.jpg,AD1329PY,AD13328PY0228,0.7500
test021_1.jpg,BA1709DW,1709DW,0.2500
test021_2.jpg,W1236VZ,1236VZ1028,0.7143
test022_1.jpg,W1825OZ,18250Z27,0.5714
test022_2.jpg,L1202UE,L1202,0.2857
test022_3.jpg,L3823IB,382310D,0.5714
test023_1.jpg,B1730JLO,1730JL0,0.2500
test024_1.jpg,B2964TRU,B2964TRU,0.0000
test025_1.jpg,S5585LP,5585,0.4286
test025_2.jpg,L2858RR,SL285BRR,0.2857
test025_3.jpg,W1185ZO,SW1185ZO,0.1429
test025_4.jpg,9840VU,THELICENSEPLATENUMBERVISIBLEINTHEIMAGEIS98840,7.1667
test026_1.jpg,N9652DF,IS9652DE,0.4286
test026_2.jpg,L3836ZX,L3836ZX,0.0000
test027_1.jpg,N1905IG,N1905IG,0.0000
test027_2.jpg,B1109CLR,SB1109CLR,0.1250
test027_3.jpg,L1840AA,L1840AA,0.0000
test028_1.jpg,L1438EO,1438E06,0.4286
test028_2.jpg,L1436AAA,1436AA,0.2500
test029_1.jpg,W1518WF,W1561,0.5714
test029_2.jpg,G1986N,G1986N,0.0000
test029_3.jpg,L1588OO,L1588,0.2857
test029_4.jpg,L1436AAA,L1236AAA,0.1250
test030_1.jpg,S8062NF,8062,0.4286
test030_2.jpg,G1894TE,1894,0.4286
test031_1.jpg,L1560JQ,L15600424,0.5714
test031_2.jpg,L1568QO,L1568,0.2857
test031_3.jpg,L1932AAZ,L1932AAZ,0.0000
test032_1.jpg,B2754SKY,B2754SKY,0.0000
test032_2.jpg,W1192K,SW1192K,0.1667
test033_1.jpg,L4561VK,L4561VK,0.0000
test033_2.jpg,L2693GA,L2693CA,0.1429
test033_3.jpg,W9847G,THELICENSEPLATENUMBERVISIBLEINTHEIMAGEIS08237,7.3333
test033_4.jpg,L1762ABJ,1762ABJ,0.1250
test034_1.jpg,L1811SU,THELICENSEPLATENUMBERINTHEIMAGEISL1811,5.0000
test034_2.jpg,W1167VO,N1167VB,0.2857
test034_3.jpg,S6131OCF,S6131OCF,0.0000
test034_4.jpg,L2570AAD,L2570AAA,0.1250
test035_1.jpg,L9643NN,9643,0.4286
test035_2.jpg,L5247GI,5217,0.5714
test035_3.jpg,L2498AAM,L2290AAA,0.3750
test035_4.jpg,W1696YO,W1696YO,0.0000
test036_1.jpg,B1231JJA,1231JJA0226,0.6250
test036_2.jpg,B1618UAE,B1618UAE,0.0000
test037_1.jpg,L1775VO,1775V0826,0.7143
test037_2.jpg,L300RX,300RXI,0.3333
test037_3.jpg,L1879VG,IS1879LVC,0.5714
test038_1.jpg,D1523YCN,SD1523YCN,0.1250
test038_2.jpg,L1877ACU,1877A0228,0.6250
test039_1.jpg,L1069VK,THELICENSEPLATENUMBERINTHEIMAGEIS10869,5.0000
test040_1.jpg,S1595LL,S1595L,0.1429
test041_1.jpg,B1231JJA,B123JJA,0.1250
test042_1.jpg,AD1174SF,AD1175SF,0.1250
test043_1.jpg,W1898YW,1898YW28,0.4286
test043_2.jpg,W1470PG,W14670PG,0.1429
test044_1.jpg,L1930KF,1930KF,0.1429
test044_2.jpg,N1004HE,THELICENSEPLATENUMBERINTHEIMAGEISN1004,5.0000
test045_1.jpg,S1347LJ,THELICENSEPLATENUMBERINTHEIMAGEIS13347,5.0000
test046_1.jpg,L1470ABK,L1470ABK,0.0000
test046_2.jpg,L1265MX,L1265MX,0.0000
test047_1.jpg,N1524SY,1524SY,0.1429
test047_2.jpg,L1678ACE,SL1678ACE,0.1250
test048_1.jpg,L9316BC,9316,0.4286
test048_2.jpg,W1838AY,1838AY,0.1429
test049_1.jpg,N1376DE,N1376,0.2857
test049_2.jpg,N79AP,79AP,0.2000
test050_1.jpg,L1265OF,L1265OF,0.0000
test050_2.jpg,N1095G,1095,0.3333
test051_1.jpg,N1718HC,1718HC27,0.4286
test052_1.jpg,N6497KS,N6297KS,0.1429
test052_2.jpg,N5235ABX,5235ABX,0.1250
test052_3.jpg,N4980KJ,4980KJ,0.1429
test053_1.jpg,N1365AAO,N1365AA,0.1250
test054_1.jpg,N1077AAK,N1077AAK,0.0000
test054_2.jpg,N1084AAO,N1084AAD,0.1250
test055_1.jpg,N1610KS,N1610KS,0.0000
test056_1.jpg,N924CIA,924CIA,0.1429
test056_2.jpg,N1623HB,1623HB,0.1429
test056_3.jpg,L1430HF,THELICENSEPLATENUMBERINTHEIMAGEIS14630,5.0000
test057_1.jpg,N1342T,1342,0.3333
test057_2.jpg,N4145AB,H4165AB,0.2857
test057_3.jpg,N1396AAH,N1396AAH,0.0000
test058_1.jpg,N3153ACB,THELICENSEPLATENUMBERINTHEIMAGEISN31563ACB,4.2500
test058_2.jpg,N5829KJ,5029KJ,0.2857
test058_3.jpg,N1780JL,1780JL,0.1429
test059_1.jpg,W8774PA,W8771PA,0.1429
test059_2.jpg,B9162FXU,SB9162FXU,0.1250
test060_1.jpg,L1846JE,L1846JE,0.0000
test060_2.jpg,M1457ITA,M1457TA,0.1250
test061_1.jpg,AA1971KJ,AA1971KJ,0.0000
test061_2.jpg,BD1146DH,BD1146DH,0.0000
test062_1.jpg,B9654PEU,BB965,0.6250
test062_2.jpg,AE7244S,AE71245S,0.2857
test063_1.jpg,S1208BI,S1208BI,0.0000
test064_1.jpg,AE8137G,AE8137G,0.0000
test065_1.jpg,H1706SW,1706,0.4286
test066_1.jpg,T1220HS,IS1230HSJ,0.5714
test066_2.jpg,H1790ZY,H17902Y,0.1429
test067_1.jpg,L1855BR,1855BR0327,0.7143
test067_2.jpg,AB1274EV,AB1276EV,0.1250
test068_1.jpg,B2310UZS,B2310UZS,0.0000
test068_2.jpg,G1264CM,G1264,0.2857
test069_1.jpg,AA1138AK,AAA1138,0.3750
test070_1.jpg,B2160TOB,B2160TOB,0.0000
test070_2.jpg,B2597BYK,2597BYK,0.1250
test071_1.jpg,G9545AG,G95654,0.7143
test072_1.jpg,BG1870IB,1870IB0127,0.7500
test073_1.jpg,T1187HB,1187HB0726,0.7143
test073_2.jpg,A1330FP,1330FP,0.1429
test074_1.jpg,G1368GE,1368GE27,0.4286
test074_2.jpg,B1081CMR,B1081CMR,0.0000
test075_1.jpg,G2474XZ,C201X,0.7143
test075_2.jpg,G9173BP,G9173BP,0.0000
test075_3.jpg,7066OF,THELICENSEPLATENUMBERVISIBLEINTHEIMAGEIS7176,7.5000
test076_1.jpg,G2151ASF,G2151ASF,0.0000
test076_2.jpg,E500MA,E500M,0.1667
test076_3.jpg,G4689SN,G6809SN,0.2857
test077_1.jpg,G1754QZ,G1754,0.2857
test078_1.jpg,H1413DH,H143DH,0.1429
test079_1.jpg,T1688GY,1688,0.4286
test079_2.jpg,A1260AJ,A126CAJ,0.1429
test080_1.jpg,D77HSB,7D7HB27,1.1667
test080_2.jpg,B1861TOI,B1861T,0.2500
test080_3.jpg,D1160ADE,D1160ADE,0.0000
test081_1.jpg,F8097BD,8097BD67,0.4286
test081_2.jpg,F1992AM,F1992,0.2857
test082_1.jpg,E1824YZ,E1824YZ,0.0000
test082_2.jpg,B9093UEX,THELICENSEPLATENUMBERVISIBLEINTHEIMAGEISB9083,5.5000
test083_1.jpg,F5052AAE,F5052AAE,0.0000
test083_2.jpg,F5452CQ,F5452CO,0.1429
test084_1.jpg,B1158PYP,B1168PYP,0.1250
test084_2.jpg,B1242VOY,B1234VOY,0.2500
test085_1.jpg,B1315KIF,B1315KIF,0.0000
test085_2.jpg,B2938FVJ,B2938FVJ,0.0000
test085_3.jpg,B2560SKZ,B2560SKZ,0.0000
test086_1.jpg,B1291NOJ,B1291NJJ,0.2500
test086_2.jpg,B1556NRC,15656NRC,0.2500
test087_1.jpg,B6823WXR,SB6823WXR,0.1250
test087_2.jpg,B6317NXK,B6317NXX,0.1250
test087_3.jpg,F2215FCQ,F2315FCO,0.2500
test087_4.jpg,4039NHR,40139,0.5714
test088_1.jpg,B2190TYB,B2190TYB,0.0000
test088_2.jpg,B1902VKA,B1902VKA,0.0000
test089_1.jpg,D8609N,D8609,0.1667
test089_2.jpg,A8406ZE,A8406ZEG,0.1429
test089_3.jpg,B1246KRK,B126124KRK,0.5000
test090_1.jpg,T9314E,931,0.5000
test090_2.jpg,N9579U,SN9579U,0.1667
test091_1.jpg,B2910KZW,SB2910KZW,0.1250
test091_2.jpg,B9721KXV,B9721KXX,0.1250
test092_1.jpg,B1104AAA,B1104AA,0.1250
test092_2.jpg,T1579FN,T1579FN,0.0000
test092_3.jpg,B2346POC,B2346PPC,0.1250
test093_1.jpg,B2026BIU,B206BIU,0.1250
test094_1.jpg,G1255EJ,G125629,0.4286
test095_1.jpg,B1201KAD,B1201KAD,0.0000
test095_2.jpg,B2310JUK,B2310JUK,0.0000
test095_3.jpg,B28YHH,B28YYH1027,0.8333
test096_1.jpg,B1354COJ,B1354COJ,0.0000
test096_2.jpg,B1502NRO,B1502NRO,0.0000
test097_1.jpg,B1650NOG,1650NOG,0.1250
test097_2.jpg,B6354SVL,6354SVL0225,0.6250
test098_1.jpg,B1779DOB,B179DOB,0.1250
test099_1.jpg,B2017PBQ,B2017PBQ,0.0000
test099_2.jpg,B1892WZT,IS1892WZT,0.2500
test100_1.jpg,B1071PRG,B1071PGR,0.2500
test100_2.jpg,B2134PZJ,B213PZJ,0.1250
